id_name,comment_text,user_id_link,rating
酸菜泡鱼鱼,8.5 有刻意的部分，但是不影响我觉得意犹未尽。章宇好帅啊。,https://www.douban.com/people/zhz270/,力荐
工藤新文儿,借茉莉之口推动一切转折，最后那个聚光灯小俗但仍旧需要这样好的声音,https://www.douban.com/people/141424702/,推荐
开花沼泽地,我喜欢 我的2024年度最佳,https://www.douban.com/people/183059042/,力荐
虚妄,接近结尾含义逐渐升华。“正是因为我们足够乐观和自信，才可以直面悲剧。”钟楚曦的两次落泪也让我跟着小哭了两次，90后的原生伤痛，营销号戏谑的一句“玩乐队的十之八九有原生家庭伤痛”还真不无道理。就算夫妻彼此不喜欢了，但仍都是爱孩子的，这种道理很多父母却很难参悟。影片中的男性已经是脱离现实般理想化的存在了，特别是赵又廷这样看上野千鹤子的男的现实更是寥寥无几。小叶和铁梅不禁让我反省自己，是不是也那么缺爱，酒精加倒贴；是不是也那么爱把别人当工具人…但是又想到小叶说的：我们为什么要表现得那么好呢？谁要求我们要尽善尽美那么完美的呢？插句题外话，看的时候一直想的是原来去年看到在照明商店前拍戏的剧组就是这个电影啊，还有延庆路、摩登天空，一切是既陌生又熟悉。,https://www.douban.com/people/205012784/,推荐
豆子🎀,我们是自己最爱的爱人💞互为工具人不带入该死的感情也挺好🙂,https://www.douban.com/people/209478230/,力荐
信达雅翻译警察,女人被害妄想症加霸道总裁爱上离异带娃的我幻想症综合体,https://www.douban.com/people/keinshen/,很差
And you,单亲妈妈之那咋啦,https://www.douban.com/people/208877105/,力荐
Lmq,小孩，你怎么打鼓，女孩就怎么打鼓！,https://www.douban.com/people/Lmq1999/,力荐
我是白鲸你是海,最喜欢的是小孩在用耳机听一些白噪音去猜都是什么声音的那段。,https://www.douban.com/people/78509060/,推荐
树藤,我的2024年度最佳院线电影,https://www.douban.com/people/141058764/,力荐
爆炸小鱼粥,成年人的都市童话,https://www.douban.com/people/yss0224/,推荐
被骗47次,很轻松愉悦的两个小时，观点输出不强势，感情宛转流动 在宋佳身上get到了女同所谓的姐感 完全是妈妈级别🥰,https://www.douban.com/people/162313447/,力荐
祈鹿,上映第一天看的补个五星，感谢邵导构建的大女人的视角，看得爆爽。都说三个女人是最小的社会主义，我们三个女人一起去看电影，一起吐槽，一起大笑，十年友谊随着意识觉醒相约单身显得愈发珍贵。尤其是电影外某个群体的破防，更衬得性别立场优先的爽。最后，希望导演坚持本心，继续前进，把那些魍魉之徒踩在脚下,https://www.douban.com/people/215855550/,力荐
NEAF,（1）21年的爱情神话，24年的好东西，邵艺辉在这个题材上的掌控力已经炉火纯青了 （2）“你不是见过很多明星了么，就上次在你旁边吃面那个，那个谁，贾樟柯” “他们算什么明星嘛” “那你就写见过四字弟弟” 这段太搞了，笑死我了,https://www.douban.com/people/183275535/,力荐
久居她城,感觉就是正常的剧情，评分还挺高的。,https://www.douban.com/people/182021443/,还行
阴天还是雨天,特别好！！！,https://www.douban.com/people/yyan0413/,力荐
今天晚上吃啥,金句频出,https://www.douban.com/people/124881475/,力荐
局部多云,好看，非常不错的女性电影,https://www.douban.com/people/270597976/,推荐
偷方糖的小人儿,觉醒了，然后呢？挺有意思的讲得挺好的一个故事，对宋佳的山花滤镜太深了，有点像看张校另一个平行世界里可能的人生的感觉。,https://www.douban.com/people/58439745/,力荐
衔枚无声,上周末电影院看的。还挺好看，我知道导演似乎想探讨哪些话题，但是，探讨了吗？有结果吗？,https://www.douban.com/people/79646325/,还行
