id_name,comment_text,user_id_link,rating
上网就是要发癫,最爱小孩子猜声音那段，算得上看过的电影里相当浪漫的叙事了。很温和也很有爱。,https://www.douban.com/people/161465527/,力荐
西楼尘,给母亲的家务活拟音配音的真的是年度名场面。,https://www.douban.com/people/xilouchen/,推荐
kkkk过马路,我正直勇敢有阅读量，我有什么好可怜的！,https://www.douban.com/people/233394369/,力荐
闵思嘉,女儿听声音的那场戏说明了，女性的声音，也是世界的声音。我们通常没有用这种方式去留意过、听见过、定义过这些属于女性的声音。,https://www.douban.com/people/m19900714/,推荐
拆信刀,茉莉才是看完了王铁梅所有的报道。去创造新的游戏规则！,https://www.douban.com/people/237520868/,力荐
松鼠在西风漂流,年度最佳！评论区有打一星、说邵艺辉吃女权主义红利吃上瘾讨好女性观众的，就算是，怎么就不能讨好了，是我们女性观众不配被讨好吗？在吹毛求疵什么呢？我就吃这一套！更何况这部作品也根本谈不上激进，甚至电影里对男性形象还是美化的，没有表现出丝毫对男性的恶意，非常真实、细致动人！那么多成百上千讨好男性的电影怎么之前不说？在男性英雄主义角色玩转乾坤、占领话语权的时代，难得有女性导演脱颖而出，打造了一个现实主义但女本位的世界，完成度极高，剧作功底极好，如此优秀的作品，不应该多多鼓励嘛？(部分男的不要去我主页动态底下骂我了，攻击不到我的，你们这种行为让这部片子的含金量又增加了),https://www.douban.com/people/huandao1900/,力荐
左輪手槍腿,“你看过几本上野千鹤子啊？”，一想到这么好玩的电影热度不大我就急的团团转,https://www.douban.com/people/157222547/,力荐
仁哲神龟,章宇被扒衣服的那一段，全场女生大笑，我们什么时候在中国的电影里看到过这样的场面，共享过这样的笑声？当影片迎来一个非常俗气的结尾，闪耀的聚光灯照在小孩儿头顶，如此土气的设计，却让我觉得是最棒的一幕。我们何尝拥有过这样耀眼的结尾？我们看了这么多的电影，看了那么多逆袭的主角与光辉的英雄，终于，这盏俗气的顶光打在了我们的头上。我们看了太多他人的故事，甚至很难找到一张镜子，让我们能够看到自己。但邵艺辉为我们写作，给我们安慰，给我们希望。我当然希望明天会更好，也希望有一个可以依偎的臂膀。,https://www.douban.com/people/144689637/,力荐
朝阳区妻夫木聪,太喜欢了！是那种看完了会庆幸“啊我来电影院就是为了看这种电影！”的感觉，每一个点都可以精准地戳中自己，在全场无数次的大笑鼓掌中收获了特别多的感动和愉悦。邵导继续稳定输出，依然发生在上海，这次聚焦当代沪漂人的日常，态度温和但表达坚定。单亲妈妈不必是超人，恋爱脑也没什么可耻的，你可以犯错可以脆弱可以愤怒也可以胆怯。创作虽然会痛苦，但做一个台下鼓掌的观众也没什么不好，男人是可以雄竞的，没有血缘也是可以组建家庭的。街头可以弹唱也可以cos，小朋友也是可以不用卷的。女性叙事跟女性表达当然不用总是苦哈哈的，但如果还有人没看到那就要一直重复一直说。拒绝“爹味”叙事但支持“妈味”表达！现在可以光荣地宣布，这不仅是好东西，更是中国院线最应该出现也最值得被看见的东西！激情五星了！,https://www.douban.com/people/Invisible___/,力荐
子戈,这是一部充满了善意，还相信世界会更好的电影。尽管片中《明天会更好》的副歌几乎唱全，只差了那一句“让我们期待，明天会更好”。 这是一部真正意义上的女性主义作品，不仅因为满足贝克德尔测试，更因为，它跳出了1.0的苦大仇深、复仇心态，进入到一个打翻了二元对立的混沌状态，并把女性的主体性，真正凸显出来。 这是一部一切都关于性别，但又不仅仅是性别的电影。街头的歌唱、家中的种菜囤货、调查记者的失落、校园举报的泛滥……无不在提示，“权”字之前，不仅有“男”，还有“父”，有“公”。 靶子是老的，但拳套是新的。这就是“明天会更好”的希望。 “冒犯”之语，都借小女孩的嘴说出，不是避重就轻，而是在说，下一代将建立一个新世界。而我们今天的“因”，就是明天她们的“果”。 是好东西，去看吧。,https://www.douban.com/people/philaro2009/,推荐
老白cby,硬刚尾随男、怒怼随地小便男、正视自身需求拒绝不合理不礼貌的性行为……在一秒24帧率的大银幕上，以光明正大的“女性凝视”，且视他人凝目如鬼火，去回应去鄙视长久以来不文明不尊重女性的行为，简直不要太爽。所有女生都该看的一部女性爽片,https://www.douban.com/people/99767944/,力荐
저녁바람,好东西仅好东西可见,https://www.douban.com/people/197835781/,力荐
吐泡泡的麦兜,它没有那么好，节奏松散，俏皮话有点刻意，转场靠bgm，处处都是导演的表达欲……但我们确实需要，需要一些放松的时刻和小小的呐喊，需要短暂的逃离，像课间的十分钟，像一杯去冰微糖版的霸王茶姬。,https://www.douban.com/people/gxtyxf/,推荐
壹安²,《她不想打拳》《男人还挺好玩的》《不雄竞了？》…多好的生活文学啊，多棒的表达啊，别再面面俱到了，我们为什么不能搞砸呢，是谁在裁判呢？,https://www.douban.com/people/rayland/,力荐
momo,邵艺辉太灵了，小宋佳太灵了。 窝囊废男人赛道支持赵又廷闯入，终于不用被某男垄断了，看不下去那张脸。,https://www.douban.com/people/W20011226/,力荐
マクガフィン,手松一点可以五星。比《爱情神话》更普适也更辛辣。这哪是中国的《芭比》啊，这是中国的《弗兰西丝哈》。,https://www.douban.com/people/63306444/,力荐
沙拉豆腐,昨天看完散场时，背后一个男的用一种逗小孩的有趣口吻对女伴说：怎么样，回去要写个几千字的观后感呀~简直是个最佳CALL BACK,https://www.douban.com/people/chasethemoon/,力荐
嘟嘟熊之父,一扫阴霾，抚慰人心，走出影院的时刻心情无比灿烂。几乎是每一个在都市缝隙中风尘仆仆的你我的写照，被原生家庭、性别困境、身份标签裹挟，被迫训练出与琐碎、烦闷、孤独和对自己的不认同和解的能力，在自嘲自省中打破偏见与隔阂，放下助人情节，尊重他人命运，并毫不吝啬地释放出善意与爱。不再困于“你还爱我吗”“你爱过我吗”这样以占有和承诺为终极目标的陈旧情感模式，将目光投向丰富而具体的场景、事件与对话，在一段段因缘际会又瞬息万变的时间切片中记录着人物情感的升温。辛辣、精准又令人捧腹的讽刺丝滑地嵌入情境之中，无须利刃便足以生成穿透现实的力量。相较《爱情神话》，更加平和与自如，向导演致敬，华语年度五佳很稳。,https://www.douban.com/people/duduxiongzhifu/,推荐
